
2025/07/06 (20:23:07) | ===> btop++ v.1.3.0
2025/07/06 (20:23:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/06 (20:23:07) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/06 (20:23:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/06 (20:25:21) | ===> btop++ v.1.3.0
2025/07/06 (20:25:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/06 (20:25:21) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/06 (20:25:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/06 (20:31:38) | ===> btop++ v.1.3.0
2025/07/06 (20:31:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/06 (20:31:38) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/06 (20:31:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/06 (20:33:58) | ===> btop++ v.1.3.0
2025/07/06 (20:33:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/06 (20:33:58) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/06 (20:33:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/06 (21:32:51) | ===> btop++ v.1.3.0
2025/07/06 (21:32:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/06 (21:32:51) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/06 (21:32:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/07 (17:38:07) | ===> btop++ v.1.3.0
2025/07/07 (17:38:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/07 (17:38:07) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/07 (17:38:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/07 (20:13:30) | ===> btop++ v.1.3.0
2025/07/07 (20:13:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/07 (20:13:30) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/07 (20:13:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/08 (21:28:45) | ===> btop++ v.1.3.0
